time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2022-05-27,NVDA,stock,18.186,18.881,18.1,18.811,738379000,0.053778,0.126812,51.21,1.29282,0.06873,28.15,18.02908,20.13724,,-0.104689,,0.327273,,-0.007389,-0.001329,0
2022-05-31,NVDA,stock,18.98,19.2,18.35,18.672,664100000,-0.007389,0.104983,50.52,1.26119,0.06754,26.32,18.09031,20.07978,,-0.099078,,0.386809,,-0.018852,0.013603,1
2022-06-01,NVDA,stock,18.724,19.053,18.122,18.32,544514000,-0.018852,0.134084,48.73,1.2376,0.06755,24.49,18.11219,20.01077,,-0.094878,,0.391869,,0.069432,0.017904,1
2022-06-02,NVDA,stock,18.292,19.619,18.198,19.592,648656000,0.069432,0.154168,54.94,1.2507,0.06384,23.25,18.25312,19.99434,,-0.087086,,0.465267,,-0.044508,-0.078808,-1
2022-06-03,NVDA,stock,19.082,19.332,18.522,18.72,598779000,-0.044508,0.048681,50.43,1.2378,0.06612,22.09,18.29759,19.94437,,-0.082569,,0.439763,,0.003526,-0.093269,-1
2022-06-06,NVDA,stock,19.139,19.337,18.564,18.786,422406000,0.003526,-0.001329,50.76,1.2046,0.06412,21.02,18.3441,19.89894,,-0.078137,,0.412466,,0.007452,-0.167093,-1
2022-06-07,NVDA,stock,18.472,19,18.188,18.926,388914000,0.007452,0.013603,51.5,1.17655,0.06217,19.56,18.39952,19.86079,,-0.073576,,0.389258,,-0.014689,-0.163267,-1
2022-06-08,NVDA,stock,18.799,19.18,18.535,18.648,363252000,-0.014689,0.017904,49.9,1.13859,0.06106,18.42,18.42319,19.81323,,-0.070157,,0.342267,,-0.032175,-0.113739,-1
2022-06-09,NVDA,stock,18.481,18.933,18.041,18.048,395574000,-0.032175,-0.078808,46.55,1.12097,0.06211,17.45,18.38745,19.744,,-0.068707,,0.261503,,-0.059508,-0.135583,-1
2022-06-10,NVDA,stock,17.6,17.697,16.869,16.974,465248000,-0.059508,-0.093269,41.22,1.12512,0.06628,17.73,18.25284,19.63538,,-0.070411,,0.132959,,-0.078178,-0.064452,-1
