time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2021-12-01,EURUSD=X,forex,1.133,1.1358,1.1304,1.133,0,0.003276,0.007559,41.45,0.00805,0.00711,33.42,1.13689,1.15101,,-0.012262,,0.000212,,-0.000883,-0.004678,0
2021-12-02,EURUSD=X,forex,1.132,1.1348,1.1302,1.132,0,-0.000883,0.010444,40.58,0.00781,0.0069,31.6,1.13643,1.15026,,-0.012027,,0.000708,,-0.001237,0.002297,0
2021-12-03,EURUSD=X,forex,1.1307,1.1332,1.1267,1.1306,0,-0.001237,0.008564,39.33,0.00771,0.00682,30.46,1.13587,1.14949,,-0.011847,,0.000972,,-0.000088,-0.00115,0
2021-12-06,EURUSD=X,forex,1.1303,1.131,1.1269,1.1305,0,-0.000088,0.001063,39.24,0.00745,0.00659,29.39,1.13536,1.14874,,-0.011652,,0.001158,,-0.001592,0.000619,0
2021-12-07,EURUSD=X,forex,1.1285,1.1299,1.1231,1.1287,0,-0.001592,-0.000531,37.52,0.00745,0.0066,28.97,1.13473,1.14796,,-0.011527,,0.001175,,-0.000886,-0.000177,0
2021-12-08,EURUSD=X,forex,1.1273,1.1339,1.127,1.1277,0,-0.000886,-0.004678,36.56,0.00741,0.00657,27.73,1.13406,1.14716,,-0.011426,,0.001132,,0.006119,-0.001419,0
2021-12-09,EURUSD=X,forex,1.1344,1.1346,1.1279,1.1346,0,0.006119,0.002297,46.67,0.00737,0.0065,26.44,1.13411,1.14667,,-0.010956,,0.001556,,-0.004671,-0.004848,0
2021-12-10,EURUSD=X,forex,1.1294,1.1323,1.1267,1.1293,0,-0.004671,-0.00115,41.24,0.00741,0.00656,25.44,1.13365,1.14599,,-0.010768,,0.001469,,0.001682,0.003631,0
2021-12-13,EURUSD=X,forex,1.1311,1.1316,1.1264,1.1312,0,0.001682,0.000619,43.77,0.00725,0.00641,24.57,1.13342,1.14541,,-0.010471,,0.001521,,-0.002387,-0.006011,0
2021-12-14,EURUSD=X,forex,1.1283,1.1328,1.1267,1.1285,0,-0.002387,-0.000177,41.06,0.00717,0.00636,23.48,1.13295,1.14475,,-0.010307,,0.001362,,-0.002127,-0.00062,0
2021-12-15,EURUSD=X,forex,1.1259,1.1278,1.1249,1.1261,0,-0.002127,-0.001419,38.77,0.00692,0.00614,22.81,1.1323,1.14402,,-0.010244,,0.001094,,0.002664,0.002398,0
