exit_config,confidence_threshold,phase,trades,wins,losses,win_rate,net_pips,expectancy_pips,profit_factor,max_drawdown_pips,score,avg_tp_pips,avg_sl_pips,tp_hits,sl_hits,timeouts
current_fixed,0.7,validation,22,15,7,68.18181818181817,484.39569999999776,22.01798636363626,3.665325371767747,41.7428000000001,463.5242999999977,45.674881818181824,29.930754545454548,15,5,2
current_fixed,0.7,test,34,13,21,38.23529411764706,-44.50450000000927,-1.308955882353214,0.92114813014167,176.17860000000292,-132.59380000001073,46.78172647058824,30.834876470588235,9,17,8
dynamic_candidate,0.7,validation,20,12,8,60.0,736.9900000000009,36.84950000000005,5.668039016974747,36.78999999999934,718.5950000000013,75.43575000000031,23.453750000000046,11,6,3
dynamic_candidate,0.7,test,32,15,17,46.875,248.85499999999843,7.776718749999951,1.6737100005414332,134.20500000000004,181.7524999999984,68.65843750000005,24.963593749999994,7,14,11
current_fixed,0.75,validation,10,7,3,70.0,241.17159999999842,24.117159999999842,3.0406071097979237,42.690999999999235,219.8260999999988,53.663709999999995,35.57204,7,3,0
current_fixed,0.75,test,19,8,11,42.10526315789473,46.09399999999937,2.425999999999967,1.1723899347076914,96.25219999999786,-2.0320999999995593,50.15350526315789,33.15496842105264,6,7,6
dynamic_candidate,0.75,validation,9,6,3,66.66666666666666,367.73000000000025,40.85888888888891,4.942639648332753,34.755000000001246,350.3524999999996,91.42833333333358,26.890000000000025,5,3,1
dynamic_candidate,0.75,test,17,7,10,41.17647058823529,60.79999999999757,3.576470588235151,1.2515306966738236,94.35000000000286,13.624999999996135,78.44735294117646,26.597647058823508,3,8,6
current_fixed,0.8,validation,3,0,3,0.0,-118.18619999999953,-39.395399999999846,0.0,118.18619999999953,-177.2792999999993,59.09309999999999,39.3954,0,3,0
current_fixed,0.8,test,11,2,9,18.181818181818183,-100.60660000000325,-9.146054545454842,0.37784481276583587,101.70660000000282,-151.45990000000467,51.672436363636365,34.08465454545455,1,4,6
dynamic_candidate,0.8,validation,3,0,3,0.0,-95.51999999999907,-31.83999999999969,0.0,95.51999999999907,-143.2799999999986,116.7466666666666,31.839999999999975,0,3,0
dynamic_candidate,0.8,test,11,3,8,27.27272727272727,-51.930000000004384,-4.7209090909094895,0.6445585215605619,85.93000000000472,-94.89500000000675,79.76590909090899,26.900454545454522,2,4,5
