lookback_hours,lookback_bars,tp_atr_mult,tp_swing_fraction,sl_atr_mult,sl_swing_fraction,min_tp_major,min_sl_major,min_tp_jpy,min_sl_jpy,val_trades,val_wins,val_losses,val_win_rate,val_net_pips,val_expectancy_pips,val_profit_factor,val_max_drawdown_pips,val_score,val_avg_tp_pips,val_avg_sl_pips,val_tp_hits,val_sl_hits,val_timeouts,test_trades,test_wins,test_losses,test_win_rate,test_net_pips,test_expectancy_pips,test_profit_factor,test_max_drawdown_pips,test_score,test_avg_tp_pips,test_avg_sl_pips,test_tp_hits,test_sl_hits,test_timeouts
5,60,1.5,0.55,0.8,0.15,10,12,34,20,41,26,15,63.41463414634146,927.9650000000079,22.63329268292702,4.917695733856911,51.999999999998636,901.9650000000086,54.14390243902454,19.376829268292706,18,11,12,58,21,37,36.206896551724135,121.32000000001858,2.091724137931355,1.2008127188009856,182.72499999999354,29.95750000002181,49.69663793103443,19.48991379310344,11,26,21
5,60,1.5,0.55,1.0,0.15,10,12,34,20,41,26,15,63.41463414634146,927.9650000000079,22.63329268292702,4.917695733856911,51.999999999998636,901.9650000000086,54.14390243902454,19.376829268292706,18,11,12,58,21,37,36.206896551724135,121.32000000001858,2.091724137931355,1.2008127188009856,182.72499999999354,29.95750000002181,49.69663793103443,19.48991379310344,11,26,21
5,60,1.5,0.55,1.2,0.15,10,12,34,20,41,26,15,63.41463414634146,927.9650000000079,22.63329268292702,4.917695733856911,51.999999999998636,901.9650000000086,54.14390243902454,19.376829268292706,18,11,12,58,21,37,36.206896551724135,117.67400000001805,2.0288620689658283,1.1936093163604278,186.37099999999407,24.48850000002102,49.69663793103443,19.598241379310334,11,26,21
5,60,1.8,0.55,0.8,0.15,10,12,34,20,41,26,15,63.41463414634146,927.9650000000079,22.63329268292702,4.917695733856911,51.999999999998636,901.9650000000086,54.14390243902454,19.376829268292706,18,11,12,58,21,37,36.206896551724135,121.32000000001858,2.091724137931355,1.2008127188009856,182.72499999999354,29.95750000002181,49.69663793103443,19.48991379310344,11,26,21
5,60,1.8,0.55,1.0,0.15,10,12,34,20,41,26,15,63.41463414634146,927.9650000000079,22.63329268292702,4.917695733856911,51.999999999998636,901.9650000000086,54.14390243902454,19.376829268292706,18,11,12,58,21,37,36.206896551724135,121.32000000001858,2.091724137931355,1.2008127188009856,182.72499999999354,29.95750000002181,49.69663793103443,19.48991379310344,11,26,21
5,60,1.8,0.55,1.2,0.15,10,12,34,20,41,26,15,63.41463414634146,927.9650000000079,22.63329268292702,4.917695733856911,51.999999999998636,901.9650000000086,54.14390243902454,19.376829268292706,18,11,12,58,21,37,36.206896551724135,117.67400000001805,2.0288620689658283,1.1936093163604278,186.37099999999407,24.48850000002102,49.69663793103443,19.598241379310334,11,26,21
5,60,1.5,0.55,0.8,0.15,14,12,34,20,41,26,15,63.41463414634146,926.400000000009,22.59512195121973,4.91108859476925,51.999999999998636,900.4000000000096,54.84317073170747,19.376829268292706,17,11,13,58,21,37,36.206896551724135,125.7350000000173,2.167844827586505,1.2081205670824393,182.72499999999354,34.37250000002052,50.28370689655164,19.48991379310344,11,26,21
5,60,1.5,0.55,1.0,0.15,14,12,34,20,41,26,15,63.41463414634146,926.400000000009,22.59512195121973,4.91108859476925,51.999999999998636,900.4000000000096,54.84317073170747,19.376829268292706,17,11,13,58,21,37,36.206896551724135,125.7350000000173,2.167844827586505,1.2081205670824393,182.72499999999354,34.37250000002052,50.28370689655164,19.48991379310344,11,26,21
5,60,1.5,0.55,1.2,0.15,14,12,34,20,41,26,15,63.41463414634146,926.400000000009,22.59512195121973,4.91108859476925,51.999999999998636,900.4000000000096,54.84317073170747,19.376829268292706,17,11,13,58,21,37,36.206896551724135,122.08900000001677,2.1049827586209786,1.2008733265218134,186.37099999999407,28.903500000019733,50.28370689655164,19.598241379310334,11,26,21
5,60,1.8,0.55,0.8,0.15,14,12,34,20,41,26,15,63.41463414634146,926.400000000009,22.59512195121973,4.91108859476925,51.999999999998636,900.4000000000096,54.84317073170747,19.376829268292706,17,11,13,58,21,37,36.206896551724135,125.7350000000173,2.167844827586505,1.2081205670824393,182.72499999999354,34.37250000002052,50.28370689655164,19.48991379310344,11,26,21
